,feature,importance_gain,importance_split,trn_score,run
16,DAYS_EMPLOYED,6354.147348821163,688,0.6974011254246497,45
17,DAYS_REGISTRATION,6165.271863639355,662,0.6974011254246497,45
18,DAYS_ID_PUBLISH,7067.954295873642,725,0.6974011254246497,45
19,OWN_CAR_AGE,4066.657459527254,411,0.6974011254246497,45
20,FLAG_MOBIL,0.0,0,0.6974011254246497,45
21,FLAG_EMP_PHONE,0.0,0,0.6974011254246497,45
22,FLAG_WORK_PHONE,297.07729494571686,33,0.6974011254246497,45
23,FLAG_CONT_MOBILE,10.816100120544434,1,0.6974011254246497,45
24,FLAG_PHONE,472.48486042022705,45,0.6974011254246497,45
25,FLAG_EMAIL,265.8472104072571,28,0.6974011254246497,45
26,OCCUPATION_TYPE,3637.7656393051147,364,0.6974011254246497,45
27,CNT_FAM_MEMBERS,1057.4351225495338,100,0.6974011254246497,45
28,REGION_RATING_CLIENT,536.7100315093994,54,0.6974011254246497,45
29,REGION_RATING_CLIENT_W_CITY,241.9530834555626,28,0.6974011254246497,45
30,WEEKDAY_APPR_PROCESS_START,1102.1489191055298,114,0.6974011254246497,45
31,HOUR_APPR_PROCESS_START,3031.4429874122143,294,0.6974011254246497,45
32,REG_REGION_NOT_LIVE_REGION,106.54973077774048,10,0.6974011254246497,45
33,REG_REGION_NOT_WORK_REGION,124.2895969748497,13,0.6974011254246497,45
34,LIVE_REGION_NOT_WORK_REGION,66.32092732191086,10,0.6974011254246497,45
35,REG_CITY_NOT_LIVE_CITY,167.10579895973206,15,0.6974011254246497,45
36,REG_CITY_NOT_WORK_CITY,288.17131346464157,29,0.6974011254246497,45
37,LIVE_CITY_NOT_WORK_CITY,208.49556797742844,25,0.6974011254246497,45
38,ORGANIZATION_TYPE,9647.926038742065,752,0.6974011254246497,45
39,EXT_SOURCE_1,6178.760795503855,624,0.6974011254246497,45
40,EXT_SOURCE_2,7996.940421909094,785,0.6974011254246497,45
41,EXT_SOURCE_3,10298.162934064865,1028,0.6974011254246497,45
42,APARTMENTS_AVG,3212.346946209669,306,0.6974011254246497,45
43,BASEMENTAREA_AVG,4173.213909626007,382,0.6974011254246497,45
44,YEARS_BEGINEXPLUATATION_AVG,3286.028399646282,320,0.6974011254246497,45
45,YEARS_BUILD_AVG,2786.268091261387,261,0.6974011254246497,45
46,COMMONAREA_AVG,3339.0231437683105,322,0.6974011254246497,45
47,ELEVATORS_AVG,1162.044994175434,109,0.6974011254246497,45
48,ENTRANCES_AVG,2401.441320091486,224,0.6974011254246497,45
49,FLOORSMAX_AVG,901.3587462902069,87,0.6974011254246497,45
50,FLOORSMIN_AVG,1545.2843799591064,155,0.6974011254246497,45
51,LANDAREA_AVG,4223.847355514765,383,0.6974011254246497,45
52,LIVINGAPARTMENTS_AVG,2523.399950504303,224,0.6974011254246497,45
53,LIVINGAREA_AVG,2831.959239512682,256,0.6974011254246497,45
54,NONLIVINGAPARTMENTS_AVG,1245.3718934059143,121,0.6974011254246497,45
55,NONLIVINGAREA_AVG,2970.6108772158623,271,0.6974011254246497,45
56,APARTMENTS_MODE,2413.011861860752,216,0.6974011254246497,45
57,BASEMENTAREA_MODE,3243.1813621520996,284,0.6974011254246497,45
58,YEARS_BEGINEXPLUATATION_MODE,2216.659700512886,188,0.6974011254246497,45
59,YEARS_BUILD_MODE,1723.0676841139793,154,0.6974011254246497,45
60,COMMONAREA_MODE,3065.050434947014,279,0.6974011254246497,45
61,ELEVATORS_MODE,730.0508534908295,69,0.6974011254246497,45
62,ENTRANCES_MODE,1346.1956483721733,127,0.6974011254246497,45
63,FLOORSMAX_MODE,494.200421333313,47,0.6974011254246497,45
64,FLOORSMIN_MODE,587.0086715221405,57,0.6974011254246497,45
65,LANDAREA_MODE,3759.9566349983215,329,0.6974011254246497,45
66,LIVINGAPARTMENTS_MODE,2125.7972078323364,208,0.6974011254246497,45
67,LIVINGAREA_MODE,3369.313468337059,307,0.6974011254246497,45
68,NONLIVINGAPARTMENTS_MODE,925.4226094484329,87,0.6974011254246497,45
69,NONLIVINGAREA_MODE,3048.3313719034195,294,0.6974011254246497,45
70,APARTMENTS_MEDI,1882.255473613739,174,0.6974011254246497,45
71,BASEMENTAREA_MEDI,2457.640391945839,223,0.6974011254246497,45
72,YEARS_BEGINEXPLUATATION_MEDI,1774.141356229782,174,0.6974011254246497,45
73,YEARS_BUILD_MEDI,938.11290371418,86,0.6974011254246497,45
74,COMMONAREA_MEDI,1739.485723555088,158,0.6974011254246497,45
75,ELEVATORS_MEDI,482.49470925331116,45,0.6974011254246497,45
76,ENTRANCES_MEDI,775.9869606494904,68,0.6974011254246497,45
77,FLOORSMAX_MEDI,592.6229720115662,53,0.6974011254246497,45
78,FLOORSMIN_MEDI,394.9005300998688,39,0.6974011254246497,45
79,LANDAREA_MEDI,2227.5602284669876,191,0.6974011254246497,45
80,LIVINGAPARTMENTS_MEDI,1479.6056975126266,142,0.6974011254246497,45
81,LIVINGAREA_MEDI,2366.0371927022934,212,0.6974011254246497,45
82,NONLIVINGAPARTMENTS_MEDI,585.3371574282646,56,0.6974011254246497,45
83,NONLIVINGAREA_MEDI,1956.8508685827255,191,0.6974011254246497,45
84,FONDKAPREMONT_MODE,79.4262204170227,9,0.6974011254246497,45
85,HOUSETYPE_MODE,199.310640335083,18,0.6974011254246497,45
86,TOTALAREA_MODE,3709.5933329463005,337,0.6974011254246497,45
87,WALLSMATERIAL_MODE,612.624810218811,61,0.6974011254246497,45
88,EMERGENCYSTATE_MODE,186.0538296699524,21,0.6974011254246497,45
89,OBS_30_CNT_SOCIAL_CIRCLE,1502.7278026938438,165,0.6974011254246497,45
90,DEF_30_CNT_SOCIAL_CIRCLE,611.321760892868,62,0.6974011254246497,45
91,OBS_60_CNT_SOCIAL_CIRCLE,1251.8126349449158,140,0.6974011254246497,45
92,DEF_60_CNT_SOCIAL_CIRCLE,296.84636878967285,32,0.6974011254246497,45
93,DAYS_LAST_PHONE_CHANGE,5849.171206831932,602,0.6974011254246497,45
94,FLAG_DOCUMENT_2,0.0,0,0.6974011254246497,45
95,FLAG_DOCUMENT_3,365.6068687438965,35,0.6974011254246497,45
96,FLAG_DOCUMENT_4,0.0,0,0.6974011254246497,45
97,FLAG_DOCUMENT_5,95.92754983901978,11,0.6974011254246497,45
98,FLAG_DOCUMENT_6,98.15077924728394,12,0.6974011254246497,45
99,FLAG_DOCUMENT_7,30.134049892425537,4,0.6974011254246497,45
100,FLAG_DOCUMENT_8,411.24242889881134,45,0.6974011254246497,45
101,FLAG_DOCUMENT_9,42.43391942977905,4,0.6974011254246497,45
102,FLAG_DOCUMENT_10,0.0,0,0.6974011254246497,45
103,FLAG_DOCUMENT_11,13.352999687194824,1,0.6974011254246497,45
104,FLAG_DOCUMENT_12,0.0,0,0.6974011254246497,45
105,FLAG_DOCUMENT_13,28.587159156799316,3,0.6974011254246497,45
106,FLAG_DOCUMENT_14,19.517090797424316,2,0.6974011254246497,45
107,FLAG_DOCUMENT_15,74.5164704322815,7,0.6974011254246497,45
108,FLAG_DOCUMENT_16,142.06713128089905,12,0.6974011254246497,45
109,FLAG_DOCUMENT_17,0.0,0,0.6974011254246497,45
